Player ID,Full Name,Position,Nationality,Birthday,Height(cm),Weight(kg)
1,Max Aarons,Defender,England,04/01/2000,178,\N
2,Tammy Abraham,Forward,England,02/10/1997,190,\N
3,Adam Armstrong,Forward,England,10/02/1997,174,69
4,Che Adams,Forward,Scotland,13/07/1996,175,70
5,Tayo Adaramola,Defender,Ireland,14/11/2003,\N,\N
6,Adrián,Goalkeeper,Spain,03/01/1987,190,80
7,Sergio Agüero,Forward,Argentina,02/06/1988,173,\N
8,Derek Agyakwa,Defender,Netherlands,19/12/2001,\N,\N
9,Ahmed El Mohamady,Defender,Egypt,09/09/1987,183,\N
10,Rayan Aït-Nouri,Defender,France,06/06/2001,179,70
11,Kristoffer Ajer,Defender,Norway,17/04/1998,198,92
12,Nathan Aké,Defender,Netherlands,18/02/1995,180,75
13,Marc Albrighton,Midfielder,England,18/11/1989,175,74
14,Toby Alderweireld,Defender,Belgium,02/03/1989,186,\N
15,Ryan Alebiosu,Defender,England,17/12/2001,\N,\N
16,Ajibola Alese,Defender,England,17/01/2001,\N,\N
17,Alex Telles,Defender,Brazil,15/12/1992,181,\N
18,Trent Alexander-Arnold,Defender,England,07/10/1998,175,69
19,Ezgjan Alioski,Defender,North Macedonia,12/02/1992,173,\N
20,Alisson,Goalkeeper,Brazil,02/10/1992,191,91
21,Allan,Midfielder,Brazil,08/01/1991,173,\N
22,Dele Alli,Midfielder,England,11/04/1996,188,\N
23,Miguel Almirón,Midfielder,Paraguay,10/02/1994,174,70
24,Marcos Alonso,Defender,Spain,28/12/1990,188,\N
25,Jaime Alvarado,Midfielder,Colombia,26/07/1999,179,\N
26,Julián Álvarez,Forward,Argentina,31/01/2000,170,71
27,Álvaro Fernández,Goalkeeper,Spain,13/04/1998,185,\N
28,William Alves,Forward,England,04/05/2005,\N,\N
29,Steven Alzate,Midfielder,Colombia,08/09/1998,180,\N
30,Daniel Amartey,Defender,Ghana,21/12/1994,186,79
31,Ethan Ampadu,Defender,Wales,14/09/2000,183,\N
32,Joachim Andersen,Defender,Denmark,31/05/1996,192,90
33,Joseph Anderson,Defender,England,06/02/2001,\N,\N
34,Florin Andone,Forward,Romania,11/04/1993,180,\N
35,André Gomes,Midfielder,Portugal,30/07/1993,188,\N
36,Andreas Pereira,Midfielder,Brazil,01/01/1996,178,71
37,Vincent Angelini,Goalkeeper,Scotland,12/09/2003,186,\N
38,Angeliño,Defender,Spain,04/01/1997,175,\N
39,Faustino Anjorin,Midfielder,England,23/11/2001,185,\N
40,Michail Antonio,Forward,Jamaica,28/03/1990,180,82
41,Keenan Appiah-Forson,Midfielder,England,16/10/2001,\N,\N
42,Billy Arce,Midfielder,Ecuador,12/07/1998,178,\N
