player_id,player_name,player_position,player_season,player_age,player_yellow_cards,player_red_cards,player_fouls
1,"Max Aarons",Defender,2019/2020,20,7,0,29
1,"Max Aarons",Defender,2021/2022,22,8,0,27
2,"Tammy Abraham",Forward,2019/2020,22,2,0,17
2,"Tammy Abraham",Forward,2020/2021,23,0,0,22
3,"Adam Armstrong",Forward,2021/2022,25,1,0,13
4,"Che Adams",Forward,2019/2020,24,0,0,17
4,"Che Adams",Forward,2020/2021,24,1,0,30
4,"Che Adams",Forward,2021/2022,25,0,0,29
6,Adrián,Goalkeeper,2019/2020,33,1,0,0
6,Adrián,Goalkeeper,2020/2021,34,0,0,0
7,"Sergio Agüero",Forward,2018/2019,30,3,0,21
7,"Sergio Agüero",Forward,2019/2020,32,1,0,9
7,"Sergio Agüero",Forward,2020/2021,32,0,0,2
9,"Ahmed El Mohamady",Defender,2019/2020,32,1,0,13
9,"Ahmed El Mohamady",Defender,2020/2021,33,2,0,6
10,"Rayan Aït-Nouri",Defender,2020/2021,19,1,0,15
10,"Rayan Aït-Nouri",Defender,2021/2022,20,4,0,14
11,"Kristoffer Ajer",Defender,2021/2022,24,5,0,12
12,"Nathan Aké",Defender,2018/2019,24,3,0,28
12,"Nathan Aké",Defender,2019/2020,25,2,0,9
12,"Nathan Aké",Defender,2020/2021,26,4,0,8
12,"Nathan Aké",Defender,2021/2022,27,0,0,9
13,"Marc Albrighton",Midfielder,2018/2019,29,3,0,10
13,"Marc Albrighton",Midfielder,2019/2020,30,2,0,7
13,"Marc Albrighton",Midfielder,2020/2021,31,2,0,9
13,"Marc Albrighton",Midfielder,2021/2022,32,3,0,6
14,"Toby Alderweireld",Defender,2018/2019,30,3,0,10
14,"Toby Alderweireld",Defender,2019/2020,31,7,0,18
14,"Toby Alderweireld",Defender,2020/2021,32,2,0,17
17,"Alex Telles",Defender,2020/2021,28,0,0,4
17,"Alex Telles",Defender,2021/2022,29,1,0,23
18,"Trent Alexander-Arnold",Defender,2018/2019,20,3,0,14
18,"Trent Alexander-Arnold",Defender,2019/2020,21,5,0,22
18,"Trent Alexander-Arnold",Defender,2020/2021,22,2,0,21
18,"Trent Alexander-Arnold",Defender,2021/2022,23,2,0,12
19,"Ezgjan Alioski",Defender,2020/2021,29,7,0,39
20,Alisson,Goalkeeper,2018/2019,26,1,0,0
20,Alisson,Goalkeeper,2021/2022,29,0,0,0
20,Alisson,Goalkeeper,2019/2020,27,0,1,1
20,Alisson,Goalkeeper,2020/2021,28,1,0,1
21,Allan,Midfielder,2020/2021,30,6,0,37
21,Allan,Midfielder,2021/2022,31,7,1,30
22,"Dele Alli",Midfielder,2018/2019,23,4,0,23
22,"Dele Alli",Midfielder,2019/2020,24,2,0,12
22,"Dele Alli",Midfielder,2020/2021,25,0,0,10
22,"Dele Alli",Midfielder,2021/2022,26,4,0,21
23,"Miguel Almirón",Midfielder,2018/2019,25,0,0,6
23,"Miguel Almirón",Midfielder,2019/2020,26,5,0,30
23,"Miguel Almirón",Midfielder,2020/2021,27,3,0,18
23,"Miguel Almirón",Midfielder,2021/2022,28,2,0,17
24,"Marcos Alonso",Defender,2018/2019,28,6,0,28
24,"Marcos Alonso",Defender,2019/2020,29,4,0,16
24,"Marcos Alonso",Defender,2020/2021,30,2,0,13
24,"Marcos Alonso",Defender,2021/2022,31,8,0,25
27,"Álvaro Fernández",Goalkeeper,2021/2022,24,0,0,0
29,"Steven Alzate",Midfielder,2019/2020,21,1,0,17
29,"Steven Alzate",Midfielder,2020/2021,22,2,0,20
29,"Steven Alzate",Midfielder,2021/2022,23,0,0,6
30,"Daniel Amartey",Defender,2018/2019,24,2,0,6
30,"Daniel Amartey",Defender,2020/2021,26,3,0,3
30,"Daniel Amartey",Defender,2021/2022,27,4,0,14
31,"Ethan Ampadu",Defender,2020/2021,20,3,0,25
32,"Joachim Andersen",Defender,2020/2021,24,7,1,39
32,"Joachim Andersen",Defender,2021/2022,25,4,0,19
34,"Florin Andone",Forward,2018/2019,26,5,0,28
34,"Florin Andone",Forward,2019/2020,27,0,1,2
35,"André Gomes",Midfielder,2018/2019,25,7,0,49
35,"André Gomes",Midfielder,2019/2020,26,6,0,38
35,"André Gomes",Midfielder,2020/2021,27,3,0,35
35,"André Gomes",Midfielder,2021/2022,28,3,0,24
36,"Andreas Pereira",Midfielder,2018/2019,23,5,0,12
36,"Andreas Pereira",Midfielder,2019/2020,24,3,0,27
38,Angeliño,Defender,2019/2020,23,1,0,2
39,"Faustino Anjorin",Midfielder,2019/2020,18,0,0,0
40,"Michail Antonio",Forward,2018/2019,29,3,0,34
40,"Michail Antonio",Forward,2019/2020,30,3,0,41
40,"Michail Antonio",Forward,2020/2021,31,3,0,29
40,"Michail Antonio",Forward,2021/2022,32,6,1,50
43,"Cameron Archer",Forward,2021/2022,20,0,0,3
44,"Alphonse Areola",Goalkeeper,2021/2022,29,0,0,0
44,"Alphonse Areola",Goalkeeper,2020/2021,28,2,0,0
45,"Stuart Armstrong",Midfielder,2018/2019,27,2,0,20
45,"Stuart Armstrong",Midfielder,2019/2020,28,4,0,25
45,"Stuart Armstrong",Midfielder,2020/2021,29,3,0,34
45,"Stuart Armstrong",Midfielder,2021/2022,30,1,0,11
46,"Kepa Arrizabalaga",Goalkeeper,2020/2021,26,1,0,0
46,"Kepa Arrizabalaga",Goalkeeper,2018/2019,24,2,0,0
46,"Kepa Arrizabalaga",Goalkeeper,2019/2020,25,0,0,0
46,"Kepa Arrizabalaga",Goalkeeper,2021/2022,27,0,0,0
47,"Harrison Ashby",Defender,2021/2022,20,0,0,0
50,"Christian Atsu",Midfielder,2018/2019,27,2,0,13
50,"Christian Atsu",Midfielder,2019/2020,28,2,0,11
51,"Pierre-Emerick Aubameyang",Forward,2018/2019,29,0,0,13
51,"Pierre-Emerick Aubameyang",Forward,2019/2020,31,3,1,14
51,"Pierre-Emerick Aubameyang",Forward,2020/2021,31,2,0,13
51,"Pierre-Emerick Aubameyang",Forward,2021/2022,32,3,0,15
52,"Sèrge Aurier",Defender,2018/2019,26,1,0,17
52,"Sèrge Aurier",Defender,2019/2020,27,2,1,41
52,"Sèrge Aurier",Defender,2020/2021,28,0,0,23
56,"Jordan Ayew",Forward,2018/2019,27,3,0,31
56,"Jordan Ayew",Forward,2019/2020,28,6,0,59
56,"Jordan Ayew",Forward,2020/2021,29,4,0,45
56,"Jordan Ayew",Forward,2021/2022,30,2,0,38
57,"Luke Ayling",Defender,2020/2021,29,7,0,29
57,"Luke Ayling",Defender,2021/2022,30,4,1,22
59,"César Azpilicueta",Defender,2018/2019,29,4,0,39
59,"César Azpilicueta",Defender,2019/2020,30,1,0,40
59,"César Azpilicueta",Defender,2020/2021,31,5,1,32
59,"César Azpilicueta",Defender,2021/2022,32,3,0,25
62,"Daniel Bachmann",Goalkeeper,2021/2022,27,0,0,1
63,"Leon Bailey",Forward,2021/2022,24,3,0,12
64,"Eric Bailly",Defender,2018/2019,25,0,1,5
64,"Eric Bailly",Defender,2019/2020,26,0,0,2
64,"Eric Bailly",Defender,2020/2021,27,3,0,10
64,"Eric Bailly",Defender,2021/2022,28,1,0,2
68,"Fabián Balbuena",Defender,2018/2019,27,2,0,19
68,"Fabián Balbuena",Defender,2019/2020,28,2,0,6
68,"Fabián Balbuena",Defender,2020/2021,29,1,1,12
70,"Gareth Bale",Forward,2020/2021,31,1,0,9
71,"Folarin Balogun",Forward,2021/2022,20,0,0,0
73,"Patrick Bamford",Forward,2020/2021,27,3,0,36
73,"Patrick Bamford",Forward,2021/2022,28,2,0,5
76,"Shandon Baptiste",Midfielder,2021/2022,24,0,1,6
78,"Phil Bardsley",Defender,2018/2019,33,9,0,22
78,"Phil Bardsley",Defender,2019/2020,35,6,0,35
78,"Phil Bardsley",Defender,2020/2021,35,2,0,8
79,"Ross Barkley",Midfielder,2018/2019,25,1,0,14
79,"Ross Barkley",Midfielder,2019/2020,26,0,0,9
79,"Ross Barkley",Midfielder,2020/2021,27,0,0,14
79,"Ross Barkley",Midfielder,2021/2022,28,0,0,2
80,"Ashley Barnes",Forward,2018/2019,29,8,0,54
80,"Ashley Barnes",Forward,2019/2020,30,4,0,35
80,"Ashley Barnes",Forward,2020/2021,31,4,0,46
80,"Ashley Barnes",Forward,2021/2022,32,4,0,21
83,"Lewis Bate",Midfielder,2021/2022,19,0,0,3
84,"Michy Batshuayi",Forward,2018/2019,25,0,0,7
84,"Michy Batshuayi",Forward,2019/2020,26,0,0,4
84,"Michy Batshuayi",Forward,2020/2021,27,0,0,12
86,"Mads Bech Sørensen",Defender,2021/2022,23,3,0,8
88,"Jan Bednarek",Defender,2018/2019,23,7,0,22
88,"Jan Bednarek",Defender,2019/2020,24,4,0,33
88,"Jan Bednarek",Defender,2020/2021,25,5,1,30
88,"Jan Bednarek",Defender,2021/2022,26,10,0,30
89,"Asmir Begovic",Goalkeeper,2018/2019,31,0,0,0
90,"Héctor Bellerín",Defender,2018/2019,24,3,0,16
90,"Héctor Bellerín",Defender,2019/2020,25,2,0,15
90,"Héctor Bellerín",Defender,2020/2021,26,8,0,21
91,"Ben Gibson",Defender,2018/2019,26,1,0,2
91,"Ben Gibson",Defender,2021/2022,29,3,1,12
95,"Saïd Benrahma",Forward,2020/2021,25,0,0,14
95,"Saïd Benrahma",Forward,2021/2022,26,0,0,9
96,"Josh Benson",Midfielder,2020/2021,21,0,0,4
97,"Rodrigo Bentancur",Midfielder,2021/2022,24,5,0,22
98,"Christian Benteke",Forward,2018/2019,28,1,0,18
98,"Christian Benteke",Forward,2019/2020,29,4,1,25
98,"Christian Benteke",Forward,2020/2021,30,1,1,35
98,"Christian Benteke",Forward,2021/2022,31,3,0,16
99,"Gaetano Berardi",Defender,2020/2021,32,0,0,1
101,"Steven Bergwijn",Forward,2019/2020,22,2,0,7
101,"Steven Bergwijn",Forward,2020/2021,23,3,0,20
101,"Steven Bergwijn",Forward,2021/2022,24,1,0,9
103,Bernard,Forward,2018/2019,26,5,0,17
103,Bernard,Forward,2019/2020,27,2,0,19
103,Bernard,Forward,2020/2021,28,2,0,6
104,Bernardo,Defender,2018/2019,23,4,0,17
104,Bernardo,Defender,2019/2020,25,1,0,3
104,Bernardo,Defender,2020/2021,26,0,0,1
105,"Bernardo Silva",Midfielder,2018/2019,24,3,0,31
105,"Bernardo Silva",Midfielder,2019/2020,25,5,0,23
105,"Bernardo Silva",Midfielder,2020/2021,26,5,0,17
105,"Bernardo Silva",Midfielder,2021/2022,27,6,0,30
106,"Ryan Bertrand",Defender,2018/2019,29,8,0,26
106,"Ryan Bertrand",Defender,2019/2020,30,3,1,27
106,"Ryan Bertrand",Defender,2020/2021,31,5,0,29
106,"Ryan Bertrand",Defender,2021/2022,32,1,0,3
107,"Muhamed Besic",Midfielder,2019/2020,27,2,0,6
108,"Marcus Bettinelli",Goalkeeper,2018/2019,26,1,0,0
109,"Mads Bidstrup",Midfielder,2021/2022,21,0,0,1
