player_id,player_name,player_position,player_age,player_avg_yellow_cards,player_avg_red_cards,player_avg_fouls
1,"Max Aarons",Defender,22,7.5,0,28
2,"Tammy Abraham",Forward,25,1,0,19.5
3,"Adam Armstrong",Forward,25,1,0,13
4,"Che Adams",Forward,26,0.333333,0,25.3333
6,Adrián,Goalkeeper,35,0.5,0,0
7,"Sergio Agüero",Forward,34,1.33333,0,10.6667
9,"Ahmed El Mohamady",Defender,35,1.5,0,9.5
10,"Rayan Aït-Nouri",Defender,21,2.5,0,14.5
11,"Kristoffer Ajer",Defender,24,5,0,12
12,"Nathan Aké",Defender,27,2.25,0,13.5
13,"Marc Albrighton",Midfielder,32,2.5,0,8
14,"Toby Alderweireld",Defender,33,4,0,15
17,"Alex Telles",Defender,29,0.5,0,13.5
18,"Trent Alexander-Arnold",Defender,24,3,0,17.25
19,"Ezgjan Alioski",Defender,30,7,0,39
20,Alisson,Goalkeeper,30,0.5,0.25,0.5
21,Allan,Midfielder,31,6.5,0.5,33.5
22,"Dele Alli",Midfielder,26,2.5,0,16.5
23,"Miguel Almirón",Midfielder,28,2.5,0,17.75
24,"Marcos Alonso",Defender,31,5,0,20.5
27,"Álvaro Fernández",Goalkeeper,24,0,0,0
29,"Steven Alzate",Midfielder,24,1,0,14.3333
30,"Daniel Amartey",Defender,27,3,0,7.66667
31,"Ethan Ampadu",Defender,22,3,0,25
32,"Joachim Andersen",Defender,26,5.5,0.5,29
34,"Florin Andone",Forward,29,2.5,0.5,15
35,"André Gomes",Midfielder,29,4.75,0,36.5
36,"Andreas Pereira",Midfielder,26,4,0,19.5
38,Angeliño,Defender,25,1,0,2
39,"Faustino Anjorin",Midfielder,20,0,0,0
40,"Michail Antonio",Forward,32,3.75,0.25,38.5
43,"Cameron Archer",Forward,20,0,0,3
44,"Alphonse Areola",Goalkeeper,29,1,0,0
45,"Stuart Armstrong",Midfielder,30,2.5,0,22.5
46,"Kepa Arrizabalaga",Goalkeeper,28,0.75,0,0
47,"Harrison Ashby",Defender,20,0,0,0
50,"Christian Atsu",Midfielder,30,2,0,12
51,"Pierre-Emerick Aubameyang",Forward,33,2,0.25,13.75
52,"Sèrge Aurier",Defender,29,1,0.333333,27
56,"Jordan Ayew",Forward,31,3.75,0,43.25
57,"Luke Ayling",Defender,31,5.5,0.5,25.5
59,"César Azpilicueta",Defender,33,3.25,0.25,34
62,"Daniel Bachmann",Goalkeeper,28,0,0,1
63,"Leon Bailey",Forward,25,3,0,12
64,"Eric Bailly",Defender,28,1,0.25,4.75
68,"Fabián Balbuena",Defender,31,1.66667,0.333333,12.3333
70,"Gareth Bale",Forward,33,1,0,9
71,"Folarin Balogun",Forward,21,0,0,0
73,"Patrick Bamford",Forward,29,2.5,0,20.5
76,"Shandon Baptiste",Midfielder,24,0,1,6
78,"Phil Bardsley",Defender,37,5.66667,0,21.6667
79,"Ross Barkley",Midfielder,28,0.25,0,9.75
80,"Ashley Barnes",Forward,32,5,0,39
83,"Lewis Bate",Midfielder,19,0,0,3
84,"Michy Batshuayi",Forward,29,0,0,7.66667
86,"Mads Bech Sørensen",Defender,23,3,0,8
88,"Jan Bednarek",Defender,26,6.5,0.25,28.75
89,"Asmir Begovic",Goalkeeper,35,0,0,0
90,"Héctor Bellerín",Defender,27,4.33333,0,17.3333
91,"Ben Gibson",Defender,29,2,0.5,7
95,"Saïd Benrahma",Forward,27,0,0,11.5
96,"Josh Benson",Midfielder,22,0,0,4
97,"Rodrigo Bentancur",Midfielder,25,5,0,22
98,"Christian Benteke",Forward,31,2.25,0.5,23.5
99,"Gaetano Berardi",Defender,34,0,0,1
101,"Steven Bergwijn",Forward,25,2,0,12
103,Bernard,Forward,30,3,0,14
104,Bernardo,Defender,27,1.66667,0,7
105,"Bernardo Silva",Midfielder,28,4.75,0,25.25
106,"Ryan Bertrand",Defender,33,4.25,0.25,21.25
107,"Muhamed Besic",Midfielder,30,2,0,6
108,"Marcus Bettinelli",Goalkeeper,30,1,0,0
109,"Mads Bidstrup",Midfielder,21,0,0,1
112,"Yves Bissouma",Midfielder,26,6.75,0.25,39
120,"Willy Boly",Defender,31,1.5,0.5,18.75
122,"Jarrod Bowen",Forward,25,2,0,14.6667
124,"Jarrad Branthwaite",Defender,20,0,0.5,3.5
127,"Nathan Broadhead",Forward,24,0,0,0
