player_id,player_name,player_position,sum_yellow_cards,sum_red_cards,player_fouls,seasons_played
1,"Max Aarons",Defender,15,0,56,2
2,"Tammy Abraham",Forward,2,0,39,2
3,"Adam Armstrong",Forward,1,0,13,1
4,"Che Adams",Forward,1,0,76,3
6,Adrián,Goalkeeper,1,0,0,2
7,"Sergio Agüero",Forward,4,0,32,3
9,"Ahmed El Mohamady",Defender,3,0,19,2
10,"Rayan Aït-Nouri",Defender,5,0,29,2
11,"Kristoffer Ajer",Defender,5,0,12,1
12,"Nathan Aké",Defender,9,0,54,4
13,"Marc Albrighton",Midfielder,10,0,32,4
14,"Toby Alderweireld",Defender,12,0,45,3
17,"Alex Telles",Defender,1,0,27,2
18,"Trent Alexander-Arnold",Defender,12,0,69,4
19,"Ezgjan Alioski",Defender,7,0,39,1
20,Alisson,Goalkeeper,2,1,2,4
21,Allan,Midfielder,13,1,67,2
22,"Dele Alli",Midfielder,10,0,66,4
23,"Miguel Almirón",Midfielder,10,0,71,4
24,"Marcos Alonso",Defender,20,0,82,4
27,"Álvaro Fernández",Goalkeeper,0,0,0,1
29,"Steven Alzate",Midfielder,3,0,43,3
30,"Daniel Amartey",Defender,9,0,23,3
31,"Ethan Ampadu",Defender,3,0,25,1
32,"Joachim Andersen",Defender,11,1,58,2
34,"Florin Andone",Forward,5,1,30,2
35,"André Gomes",Midfielder,19,0,146,4
36,"Andreas Pereira",Midfielder,8,0,39,2
38,Angeliño,Defender,1,0,2,1
39,"Faustino Anjorin",Midfielder,0,0,0,1
40,"Michail Antonio",Forward,15,1,154,4
43,"Cameron Archer",Forward,0,0,3,1
44,"Alphonse Areola",Goalkeeper,2,0,0,2
45,"Stuart Armstrong",Midfielder,10,0,90,4
46,"Kepa Arrizabalaga",Goalkeeper,3,0,0,4
47,"Harrison Ashby",Defender,0,0,0,1
50,"Christian Atsu",Midfielder,4,0,24,2
51,"Pierre-Emerick Aubameyang",Forward,8,1,55,4
52,"Sèrge Aurier",Defender,3,1,81,3
56,"Jordan Ayew",Forward,15,0,173,4
57,"Luke Ayling",Defender,11,1,51,2
59,"César Azpilicueta",Defender,13,1,136,4
62,"Daniel Bachmann",Goalkeeper,0,0,1,1
63,"Leon Bailey",Forward,3,0,12,1
64,"Eric Bailly",Defender,4,1,19,4
68,"Fabián Balbuena",Defender,5,1,37,3
70,"Gareth Bale",Forward,1,0,9,1
71,"Folarin Balogun",Forward,0,0,0,1
73,"Patrick Bamford",Forward,5,0,41,2
76,"Shandon Baptiste",Midfielder,0,1,6,1
78,"Phil Bardsley",Defender,17,0,65,3
79,"Ross Barkley",Midfielder,1,0,39,4
80,"Ashley Barnes",Forward,20,0,156,4
83,"Lewis Bate",Midfielder,0,0,3,1
84,"Michy Batshuayi",Forward,0,0,23,3
86,"Mads Bech Sørensen",Defender,3,0,8,1
88,"Jan Bednarek",Defender,26,1,115,4
89,"Asmir Begovic",Goalkeeper,0,0,0,1
90,"Héctor Bellerín",Defender,13,0,52,3
91,"Ben Gibson",Defender,4,1,14,2
95,"Saïd Benrahma",Forward,0,0,23,2
96,"Josh Benson",Midfielder,0,0,4,1
97,"Rodrigo Bentancur",Midfielder,5,0,22,1
98,"Christian Benteke",Forward,9,2,94,4
99,"Gaetano Berardi",Defender,0,0,1,1
101,"Steven Bergwijn",Forward,6,0,36,3
103,Bernard,Forward,9,0,42,3
104,Bernardo,Defender,5,0,21,3
105,"Bernardo Silva",Midfielder,19,0,101,4
106,"Ryan Bertrand",Defender,17,1,85,4
107,"Muhamed Besic",Midfielder,2,0,6,1
108,"Marcus Bettinelli",Goalkeeper,1,0,0,1
109,"Mads Bidstrup",Midfielder,0,0,1,1
112,"Yves Bissouma",Midfielder,27,1,156,4
120,"Willy Boly",Defender,6,2,75,4
122,"Jarrod Bowen",Forward,6,0,44,3
124,"Jarrad Branthwaite",Defender,0,1,7,2
127,"Nathan Broadhead",Forward,0,0,0,1
128,"Armando Broja",Forward,2,0,29,2
129,"Josh Brownhill",Midfielder,14,0,81,3
130,"Bruno Fernandes",Midfielder,18,0,85,3
131,"Bruno Guimarães",Midfielder,4,0,13,1
132,"Bruno Jordão",Midfielder,0,0,0,1
133,"Lewis Brunt",Midfielder,0,0,0,1
134,"Emiliano Buendía",Midfielder,7,1,53,2
136,"Dan Burn",Defender,18,0,93,3
138,"Jack Butland",Goalkeeper,0,0,0,2
139,"Willy Caballero",Goalkeeper,1,0,0,4
140,"Gary Cahill",Defender,4,0,26,3
141,"Moisés Caicedo",Midfielder,2,0,7,1
144,"Dominic Calvert-Lewin",Forward,17,0,145,4
146,"Chem Campbell",Midfielder,0,0,0,1
147,"Sergi Canós",Forward,6,1,28,1
148,"Todd Cantwell",Midfielder,8,0,37,2
150,"Carlos Vinícius",Forward,2,0,11,1
151,"Andy Carroll",Forward,4,0,40,3
152,"Scott Carson",Goalkeeper,0,0,0,1
155,"Matty Cash",Defender,14,1,73,2
156,"Timothy Castagne",Defender,2,0,35,2
157,"Craig Cathcart",Defender,12,0,42,3
158,"Edinson Cavani",Forward,4,0,28,2
159,"Dani Ceballos",Midfielder,5,0,42,2
160,"Cédric Soares",Defender,9,0,46,4
162,"Trevoh Chalobah",Defender,2,0,19,1
163,"Calum Chambers",Defender,15,0,73,4
166,"Daniel Chesters",Midfielder,0,0,0,1
167,"Ben Chilwell",Defender,10,0,94,4
168,Chiquinho,Forward,0,0,9,1
169,"Tahith Chong",Midfielder,0,0,2,2
170,"Hamza Choudhury",Midfielder,4,1,29,4
172,"Andreas Christensen",Defender,10,1,45,4
174,"Carney Chukwuemeka",Midfielder,0,0,5,2
176,"CJ Egan-Riley",Defender,0,0,0,1
177,"Ciaran Clark",Defender,9,1,37,4
181,"Tom Cleverley",Midfielder,6,0,52,3
182,"Nathaniel Clyne",Defender,5,0,16,3
183,"Conor Coady",Defender,20,0,69,4
185,"Séamus Coleman",Defender,8,1,67,4
186,"Nathan Collins",Defender,2,1,20,1
187,"Aaron Connolly",Forward,0,0,22,3
189,"Liam Cooper",Defender,9,1,42,2
190,"Theo Corbeanu",Forward,0,0,0,1
191,"Jack Cork",Midfielder,13,0,115,4
192,"Maxwel Cornet",Forward,2,0,20,1
195,"Vladimír Coufal",Defender,6,1,58,2
199,"Charlie Cresswell",Defender,1,0,3,1
201,"Cristiano Ronaldo",Forward,8,0,16,1
202,"Cucho Hernández",Forward,3,0,13,1
203,"Marc Cucurella",Defender,6,0,28,1
206,"Luke Cundle",Midfielder,0,0,3,1
207,"Patrick Cutrone",Forward,0,0,5,2
210,"Patson Daka",Forward,2,0,17,1
213,"Stuart Dallas",Defender,12,0,73,2
215,"Daniel Podence",Midfielder,5,0,27,3
217,"Scott Dann",Defender,2,0,15,3
218,"Karl Darlow",Goalkeeper,4,0,1,2
219,"Josh Dasilva",Midfielder,0,1,4,1
220,"David Luiz",Defender,9,3,79,3
221,"Tom Davies",Midfielder,15,0,81,4
222,"Keinan Davis",Forward,0,0,16,3
223,"Craig Dawson",Defender,13,2,84,3
226,"Kevin De Bruyne",Midfielder,8,0,84,4
227,"David de Gea",Goalkeeper,3,0,1,4
228,"Troy Deeney",Forward,7,1,79,3
229,"Liam Delap",Forward,0,0,2,2
230,"Fabian Delph",Midfielder,7,2,35,4
232,"Emmanuel Dennis",Forward,7,1,59,1
235,"Kiernan Dewsbury-Hall",Midfielder,4,0,20,1
236,"Amad Diallo",Forward,0,0,2,1
237,"Luis Díaz",Forward,0,0,14,1
241,"Eric Dier",Defender,9,0,47,3
242,"Lucas Digne",Defender,13,2,115,3
243,"Diogo Dalot",Defender,7,0,31,3
244,"Diogo Jota",Forward,20,0,150,4
245,"Issa Diop",Defender,15,0,62,4
247,"Moussa Djenepo",Midfielder,12,1,61,3
248,"Lewis Dobbin",Forward,1,0,1,1
250,"Matt Doherty",Defender,8,1,89,4
251,"Domingos Quina",Midfielder,0,0,8,2
252,"Abdoulaye Doucouré",Midfielder,28,0,149,4
253,"Douglas Luiz",Midfielder,23,1,147,3
254,"Kieran Dowell",Midfielder,0,0,19,1
