Player ID,Full Name,Position,Nationality,Birthday,Height(cm),Weight(kg)
1,Max Aarons,Defender,England,04/01/2000,178cm,
2,Tammy Abraham,Forward,England,02/10/1997,190cm,
3,Adam Armstrong,Forward,England,10/02/1997,174cm,69kg
4,Che Adams,Forward,Scotland,13/07/1996,175cm,70kg
5,Tayo Adaramola,Defender,Ireland,14/11/2003,,
6,Adrián,Goalkeeper,Spain,03/01/1987,190cm,80kg
7,Sergio Agüero,Forward,Argentina,02/06/1988,173cm,
8,Derek Agyakwa,Defender,Netherlands,19/12/2001,,
9,Ahmed El Mohamady,Defender,Egypt,09/09/1987,183cm,
10,Rayan Aït-Nouri,Defender,France,06/06/2001,179cm,70kg
11,Kristoffer Ajer,Defender,Norway,17/04/1998,198cm,92kg
12,Nathan Aké,Defender,Netherlands,18/02/1995,180cm,75kg
13,Marc Albrighton,Midfielder,England,18/11/1989,175cm,74kg
14,Toby Alderweireld,Defender,Belgium,02/03/1989,186cm,
15,Ryan Alebiosu,Defender,England,17/12/2001,,
16,Ajibola Alese,Defender,England,17/01/2001,,
17,Alex Telles,Defender,Brazil,15/12/1992,181cm,
18,Trent Alexander-Arnold,Defender,England,07/10/1998,175cm,69kg
19,Ezgjan Alioski,Defender,North Macedonia,12/02/1992,173cm,
20,Alisson,Goalkeeper,Brazil,02/10/1992,191cm,91kg
21,Allan,Midfielder,Brazil,08/01/1991,173cm,
22,Dele Alli,Midfielder,England,11/04/1996,188cm,
23,Miguel Almirón,Midfielder,Paraguay,10/02/1994,174cm,70kg
24,Marcos Alonso,Defender,Spain,28/12/1990,188cm,
25,Jaime Alvarado,Midfielder,Colombia,26/07/1999,179cm,
26,Julián Álvarez,Forward,Argentina,31/01/2000,170cm,71kg
27,Álvaro Fernández,Goalkeeper,Spain,13/04/1998,185cm,
28,William Alves,Forward,England,04/05/2005,,
29,Steven Alzate,Midfielder,Colombia,08/09/1998,180cm,
30,Daniel Amartey,Defender,Ghana,21/12/1994,186cm,79kg
31,Ethan Ampadu,Defender,Wales,14/09/2000,183cm,
32,Joachim Andersen,Defender,Denmark,31/05/1996,192cm,90kg
33,Joseph Anderson,Defender,England,06/02/2001,,
34,Florin Andone,Forward,Romania,11/04/1993,180cm,
35,André Gomes,Midfielder,Portugal,30/07/1993,188cm,
36,Andreas Pereira,Midfielder,Brazil,01/01/1996,178cm,71kg
37,Vincent Angelini,Goalkeeper,Scotland,12/09/2003,186cm,
38,Angeliño,Defender,Spain,04/01/1997,175cm,
39,Faustino Anjorin,Midfielder,England,23/11/2001,185cm,
40,Michail Antonio,Forward,Jamaica,28/03/1990,180cm,82kg
41,Keenan Appiah-Forson,Midfielder,England,16/10/2001,,
42,Billy Arce,Midfielder,Ecuador,12/07/1998,178cm,
43,Cameron Archer,Forward,England,09/12/2001,171cm,72kg
44,Alphonse Areola,Goalkeeper,France,27/02/1993,195cm,94kg
45,Stuart Armstrong,Midfielder,Scotland,30/03/1992,183cm,75kg
46,Kepa Arrizabalaga,Goalkeeper,Spain,03/10/1994,189cm,84kg
47,Harrison Ashby,Defender,Scotland,14/11/2001,,
48,Yáser Asprilla,Midfielder,Colombia,19/11/2003,185cm,
49,Ryan Astley,Defender,Wales,04/10/2001,,
50,Christian Atsu,Midfielder,Ghana,10/01/1992,165cm,
51,Pierre-Emerick Aubameyang,Forward,Gabon,18/06/1989,187cm,80kg
52,Sèrge Aurier,Defender,Cote D’Ivoire,24/12/1992,176cm,76kg
53,Brandon Austin,Goalkeeper,England,08/01/1999,188cm,82kg
54,Zach Awe,Defender,England,09/01/2004,,
55,Taiwo Awoniyi,Forward,Nigeria,12/08/1997,183cm,84kg
56,Jordan Ayew,Forward,Ghana,11/09/1991,182cm,80kg
57,Luke Ayling,Defender,England,25/08/1991,185cm,72kg
58,Miguel Azeez,Midfielder,England,20/09/2002,,
59,César Azpilicueta,Defender,Spain,28/08/1989,178cm,76kg
60,Kwadwo Baah,Midfielder,Germany,27/01/2003,,
61,Abdul Rahman Baba,Defender,Ghana,02/07/1994,180cm,
62,Daniel Bachmann,Goalkeeper,Austria,09/07/1994,191cm,
63,Leon Bailey,Forward,Jamaica,09/08/1997,178cm,77kg
64,Eric Bailly,Defender,Cote D’Ivoire,12/04/1994,187cm,
65,Tiemoué Bakayoko,Midfielder,France,17/08/1994,185cm,
66,Lewis Baker,Midfielder,England,25/04/1995,182cm,
67,James Balagizi,Midfielder,England,20/09/2003,,
68,Fabián Balbuena,Defender,Paraguay,23/08/1991,188cm,
69,Ellery Balcombe,Goalkeeper,England,15/10/1999,190cm,
70,Gareth Bale,Forward,Wales,16/07/1989,185cm,
71,Folarin Balogun,Forward,England,03/07/2001,178cm,
72,Tudor Baluta,Defender,Romania,27/03/1999,192cm,
73,Patrick Bamford,Forward,England,05/09/1993,185cm,71kg
74,Beni Baningime,Midfielder,DR Congo,09/09/1998,178cm,
75,Scott Banks,Midfielder,Scotland,26/09/2001,,
76,Shandon Baptiste,Midfielder,Grenada,08/04/1998,175cm,67kg
77,Daniel Barden,Goalkeeper,Wales,02/01/2001,195cm,
78,Phil Bardsley,Defender,Scotland,28/06/1985,180cm,
79,Ross Barkley,Midfielder,England,05/12/1993,189cm,
80,Ashley Barnes,Forward,England,30/10/1989,186cm,
81,Mason Barrett,Defender,England,24/09/1999,,
82,Louie Barry,Forward,England,21/06/2003,,
83,Lewis Bate,Midfielder,England,28/10/2002,,
84,Michy Batshuayi,Forward,Belgium,02/10/1993,184cm,
85,Nathan Baxter,Goalkeeper,England,08/11/1998,191cm,
86,Mads Bech Sørensen,Defender,Denmark,07/01/1999,189cm,
87,Owen Beck,Defender,Wales,09/08/2002,,
88,Jan Bednarek,Defender,Poland,12/04/1996,189cm,77kg
89,Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,20/06/1987,199cm,101kg
90,Héctor Bellerín,Defender,Spain,19/03/1995,178cm,
91,Ben Gibson,Defender,England,15/01/1993,185cm,
92,Ben Woodburn,Midfielder,Wales,15/10/1999,174cm,
93,Filip Benkovic,Defender,Croatia,13/07/1997,194cm,
94,J'Neil Bennett,Forward,England,07/12/2001,,
95,Saïd Benrahma,Forward,Algeria,10/08/1995,172cm,67kg
96,Josh Benson,Midfielder,England,05/12/1999,178cm,
97,Rodrigo Bentancur,Midfielder,Uruguay,25/06/1997,187cm,72kg
98,Christian Benteke,Forward,Belgium,03/12/1990,190cm,
99,Gaetano Berardi,Defender,Switzerland,21/08/1988,179cm,
100,Lucas Bergström,Goalkeeper,Finland,05/09/2002,199cm,
101,Steven Bergwijn,Forward,Netherlands,08/10/1997,178cm,
102,Adrián Bernabé,Midfielder,Spain,26/05/2001,170cm,
103,Bernard,Forward,Brazil,08/09/1992,164cm,
104,Bernardo,Defender,Brazil,14/05/1995,186cm,
105,Bernardo Silva,Midfielder,Portugal,10/08/1994,173cm,64kg
106,Ryan Bertrand,Defender,England,05/08/1989,179cm,85kg
107,Muhamed Besic,Midfielder,Bosnia & Herzegovina,10/09/1992,180cm,
108,Marcus Bettinelli,Goalkeeper,England,24/05/1992,194cm,82kg
109,Mads Bidstrup,Midfielder,Denmark,25/02/2001,175cm,
110,Mika Biereth,Forward,Denmark,08/02/2003,,
111,Nathan Bishop,Goalkeeper,England,15/10/1999,185cm,
112,Yves Bissouma,Midfielder,Mali,30/08/1996,182cm,80kg
113,Harvey Blair,Forward,England,14/09/2003,,
114,Adrian Blake,Midfielder,England,15/07/2005,,
115,Oscar Bobb,Midfielder,Norway,12/07/2003,,
116,Lamare Bogarde,Midfielder,Netherlands,05/01/2004,,
117,Mateusz Bogusz,Midfielder,Poland,22/08/2001,175cm,
118,Bendegúz Bolla,Defender,Hungary,22/11/1999,179cm,
119,Luke Bolton,Midfielder,England,07/10/1999,174cm,
120,Willy Boly,Defender,Cote D’Ivoire,03/02/1991,195cm,92kg
121,Jamie Bowden,Midfielder,Ireland,09/07/2001,,
122,Jarrod Bowen,Forward,England,20/12/1996,175cm,70kg
123,Conor Bradley,Defender,Northern Ireland,09/07/2003,180cm,
124,Jarrad Branthwaite,Defender,England,27/06/2002,195cm,
125,Sammy Braybrooke,Midfielder,England,12/03/2004,,
126,Mungo Bridge,Forward,England,12/09/2000,,
127,Nathan Broadhead,Forward,Wales,05/04/1998,178cm,
128,Armando Broja,Forward,Albania,10/09/2001,191cm,
129,Josh Brownhill,Midfielder,England,19/12/1995,180cm,
130,Bruno Fernandes,Midfielder,Portugal,08/09/1994,179cm,69kg
131,Bruno Guimarães,Midfielder,Brazil,16/11/1997,182cm,74kg
132,Bruno Jordão,Midfielder,Portugal,12/10/1998,180cm,
133,Lewis Brunt,Midfielder,England,06/11/2000,,
134,Emiliano Buendía,Midfielder,Argentina,25/12/1996,172cm,72kg
135,Hugo Bueno,Defender,Spain,18/09/2002,180cm,73kg
136,Dan Burn,Defender,England,09/05/1992,198cm,87kg
137,Finley Burns,Defender,England,17/06/2003,,
138,Jack Butland,Goalkeeper,England,10/03/1993,196cm,95kg
139,Willy Caballero,Goalkeeper,Argentina,28/09/1981,186cm,81kg
140,Gary Cahill,Defender,England,19/12/1985,193cm,
141,Moisés Caicedo,Midfielder,Ecuador,02/11/2001,178cm,73kg
142,Jake Cain,Midfielder,England,02/09/2001,,
143,Callum Rowe,Defender,England,02/09/1999,,
144,Dominic Calvert-Lewin,Forward,England,16/03/1997,187cm,71kg
145,Leonardo Campana,Forward,Ecuador,24/07/2000,187cm,
146,Chem Campbell,Midfielder,Wales,30/12/2002,,
147,Sergi Canós,Forward,Spain,02/02/1997,177cm,75kg
148,Todd Cantwell,Midfielder,England,27/02/1998,177cm,
149,Elia Caprile,Goalkeeper,Italy,25/08/2001,191cm,
150,Carlos Vinícius,Forward,Brazil,25/03/1995,190cm,86kg
151,Andy Carroll,Forward,England,06/01/1989,193cm,
152,Scott Carson,Goalkeeper,England,03/09/1985,188cm,85kg
153,Cameron Carter-Vickers,Defender,United States,31/12/1997,183cm,
154,Oliver Casey,Defender,England,14/10/2000,188cm,
155,Matty Cash,Defender,Poland,07/08/1997,185cm,
156,Timothy Castagne,Defender,Belgium,05/12/1995,185cm,80kg
157,Craig Cathcart,Defender,Northern Ireland,06/02/1989,188cm,
158,Edinson Cavani,Forward,Uruguay,14/02/1987,184cm,
159,Dani Ceballos,Midfielder,Spain,07/08/1996,179cm,
160,Cédric Soares,Defender,Portugal,31/08/1991,172cm,67kg
161,Kallum Cesay,Defender,Sierra Leone,04/09/2002,,
162,Trevoh Chalobah,Defender,England,05/07/1999,190cm,75kg
163,Calum Chambers,Defender,England,20/01/1995,182cm,66kg
164,Shea Charles,Defender,Northern Ireland,05/11/2003,,
165,Kgaogelo Chauke,Midfielder,England,08/01/2003,,
166,Daniel Chesters,Midfielder,England,04/04/2002,,
167,Ben Chilwell,Defender,England,21/12/1996,178cm,77kg
168,Chiquinho,Forward,Portugal,05/02/2000,179cm,73kg
169,Tahith Chong,Midfielder,Netherlands,04/12/1999,185cm,
170,Hamza Choudhury,Midfielder,England,01/10/1997,178cm,
171,Ben Chrisene,Midfielder,England,12/01/2004,,
172,Andreas Christensen,Defender,Denmark,10/04/1996,187cm,
